refsize(Kevent),power,num_packs,num_scouts,threshold,specificity,sensitivity
200,1,3,14,24.159683990478516,0.9921568627450981,0.506
200,2,3,14,24.053681945800783,0.9921568627450981,0.506
200,3,3,14,23.738330841064453,0.9921568627450981,0.506
200,4,3,14,24.530075454711913,0.9923076923076923,0.516
200,5,3,14,25.86006317138672,0.9924812030075187,0.528
200,6,3,14,26.456805801391603,0.9925650557620818,0.534
200,7,3,14,26.123891067504882,0.992619926199262,0.538
200,8,3,14,26.302027893066406,0.9927536231884058,0.548
200,9,3,14,27.21509132385254,0.9894736842105263,0.5651302605210421
200,10,3,14,27.244384765625,0.9896193771626297,0.5742971887550201
200,11,3,14,27.44412307739258,0.9896551724137931,0.5821501014198783
200,12,3,14,29.4832706451416,0.9864864864864865,0.5995893223819302
200,13,3,14,30.57883224487305,0.9933333333333333,0.6273684210526316
200,14,3,14,32.29650802612305,0.9833887043189369,0.644880174291939
200,15,3,14,32.475091552734376,0.9895833333333334,0.6627906976744186
200,16,3,14,32.263026809692384,0.9924242424242424,0.656641604010025
200,17,3,14,32.77982711791992,0.9649805447470817,0.6757493188010899
200,18,3,14,33.05936050415039,0.9728506787330317,0.6677018633540373
200,19,3,14,33.7008773803711,0.9798994974874372,0.6701030927835051
200,20,3,14,34.479322052001955,0.9893048128342246,0.7034220532319392
200,21,3,14,35.12632064819336,0.9817073170731707,0.6764705882352942
200,22,3,14,36.1790168762207,0.9716312056737588,0.6954314720812182
200,23,3,14,37.16952743530273,0.9538461538461539,0.7005649717514124
200,24,3,14,37.28888473510742,0.9572649572649573,0.7044025157232704
200,25,3,14,36.88047866821289,0.9895833333333334,0.6884057971014492
400,9,3,14,27.215095138549806,0.9894736842105263,0.5651302605210421
